movie_id,person_id,rating_value
1,1,4
1,2,4
1,3,5
1,4,3
1,5,5
1,6,5
1,7,5
1,8,5
1,9,5
1,10,4
1,11,5
1,12,NULL
1,13,5
2,1,5
2,2,NULL
2,3,3
2,4,3
2,5,NULL
2,6,NULL
2,7,5
2,8,NULL
2,9,NULL
2,10,5
2,11,4
2,12,5
2,13,NULL
3,1,2
3,2,2
3,3,5
3,4,5
3,5,2
3,6,3
3,7,5
3,8,5
3,9,5
3,10,3
3,11,NULL
3,12,NULL
3,13,5
4,1,1
4,2,3
4,3,1
4,4,2
4,5,NULL
4,6,NULL
4,7,5
4,8,NULL
4,9,NULL
4,10,3
4,11,NULL
4,12,NULL
4,13,4
5,1,3
5,2,1
5,3,4
5,4,4
5,5,4
5,6,NULL
5,7,4
5,8,NULL
5,9,NULL
5,10,5
5,11,4
5,12,3
5,13,5
6,1,2
6,2,NULL
6,3,2
6,4,2
6,5,3
6,6,5
6,7,5
6,8,3
6,9,4
6,10,5
6,11,5
6,12,5
6,13,5
